DEPT_DESCRSHORT	SUBJECT	DIVISION
A & UP	UP	O
A & UP	ARCH	O
A & UP	UD	O
Aerospace	AEROSP	E
AF O E	AERO	O
AfroAm&Af	CAAS	SS
AfroAm&Af	AAS	SS
All Orgs (	TRGENCR	NA
All Orgs (	ADJTRCR	NA
All Orgs (	INTERNS	NA
All Orgs (	PRECALTC	NA
All Orgs (	UGTOTADJ	NA
All Orgs (	ENGCMPTC	NA
All Orgs (	INTERSS	NA
All Orgs (	INTERID	NA
All Orgs (	INTERHUM	NA
American C	ASIANPAM	H
American C	NATIVEAM	H
American C	AMCULT	H
American C	LATINOAM	H
American C	ARABAM	H
Anat Sci	ANATOMY	S
Anesthesio	ANESTH	NA
Anthropolo	ANTHRARC	SS
Anthropolo	ANTHRCUL	SS
Anthropolo	ANTHRBIO	SS
Applied Ph	APPPHYS	S
AR O E	MILSCI	O
ART	ARTEDD	H
ART	UARTS	H
ART	MEDILLUS	H
ART	ADABRD	H
ART	INTPERF	H
ART	ARTDES	H
Asian Lang	CHIN	H
Asian Lang	BUDDHST	H
Asian Lang	SSEA	H
Asian Lang	JAPANESE	H
Asian Lang	ASIANLAN	H
Asian Lang	ASIAN	H
Asian Lang	KOREAN	H
Astronomy	ASTRO	S
Atm, Ocean	AOSS	E
Bioinforma	BIOINF	S
Biological	BIOLCHEM	S
Biology De	BIOLOGY	S
Biology De	ZOOLOGY	S
Biology De	BOTANY	S
Biomedical	BIOMEDE	E
BiomedSci	PIBS	S
Biophysics	BIOPHYS	S
Biostatist	BIOSTAT	S
BUS AD	MKT	P
BUS AD	RE	P
BUS AD	IB	P
BUS AD	CSIB	P
BUS AD	BIT	P
BUS AD	BA	P
BUS AD	CS	P
BUS AD	OB	P
BUS AD	WMBA	P
BUS AD	STRATEGY	P
BUS AD	LHC	P
BUS AD	ES	P
BUS AD	PC	P
BUS AD	SMS	P
BUS AD	EMBA	P
BUS AD	CIS	P
BUS AD	MO	P
BUS AD	INSUR	P
BUS AD	BE	P
BUS AD	ACC	P
BUS AD	TO	P
BUS AD	BUSABRD	P
BUS AD	FIN	P
BUS AD	BL	P
BUS AD	BCOM	P
BUS AD	OMS	P
BUS AD	OM	P
Cancer Bio	CANCBIO	S
CellDvBiol	ANAT	S
CellDvBiol	CDB	S
Center For	CTENGED	H
Center For	WEURSTD	H
Center For	EURO	H
Chemical E	CHE	E
Chemistry	CHEM	S
Civil & En	CEE	E
Cl&Mol Bio	CMBIOL	S
Classical	CLARCH	H
Classical	CLLING	H
Classical	GREEKMOD	H
Classical	CLCIV	H
Classical	GTBOOKS	H
Classical	MODGREEK	H
Classical	GREEK	H
Classical	LATIN	H
CoE Roboti	ROB	E
Communicat	MASSCOMM	SS
Communicat	COMM	SS
Comparativ	COMPLIT	H
Complex	CMPLXSYS	S
Comprehens	CSP	O
ComputerSc	CMPTRSC	S
CREEES	REES	H
CREEES	REEES	H
Ctr Chines	CCS	H
Ctr JapanS	CJS	H
DENT	PROSTHOD	P
DENT	HOSPDENT	P
DENT	DENTTHER	P
DENT	ORALSURG	P
DENT	RESTORA	P
DENT	PGDENT	P
DENT	PERIODON	P
DENT	DENTPROS	P
DENT	ORALPATH	P
DENT	BIOMATLS	P
DENT	DHYGRACK	P
DENT	ORTHO	P
DENT	ENDODONT	P
DENT	PEDDENT	P
DENT	ORALBIOL	P
DENT	DENT	P
DENT	DENTMAT	P
DENT	ORALDIAG	P
DENT	ORALHEAL	P
DENT	DENTED	P
Dental Hyg	HYGDCE	P
Dental Hyg	HYGDCC	P
Dental Hyg	DENTHYG	P
Department	DANCE	H
Dermatolog	DERM	NA
Design Sci	DESCI	S
Earth & En	GEOSCI	S
Earth & En	EARTH	S
Ecol & Ev	EEB	S
Economics	ECON	SS
EDUC	EDCONT	SS
EDUC	EDGUID	SS
EDUC	EDADMIN	SS
EDUC	EDOCCUP	SS
EDUC	EDSPCHR	SS
EDUC	EDHIGHER	SS
EDUC	EDSOCIAL	SS
EDUC	EDCOMMDV	SS
EDUC	EDUC	SS
EDUC	EDCURINS	SS
